,word,year,proportion,zipf_test,moment
355,base runner,1866,9.233789560717053e-09,-0.5292690918716755,0.08451542547285165
329,confirmand,1884,9.233777623930731e-09,2.03875002381656,0.08451542547285165
356,codebook,1866,9.233777623930731e-09,-0.4566740956125498,0.08451542547285165
391,pressboard,1847,1.8467555247861462e-08,3.453085883347581,0.08451542547285165
369,patagium,1857,9.233777623930731e-09,5.517248313690115,0.08451542547285165
368,cytoplasm,1857,9.233777623930731e-09,0.34520181366266955,0.08451542547285165
370,program music,1857,9.233789560717053e-09,0.4383915058138741,0.08451542547285165
405,ice ax,1800,9.233789560717053e-09,1.4325807191248512,0.08451542547285165
383,raffia,1850,9.233777623930731e-09,-0.4114030975493443,0.08451542547285165
276,hydrogen bond,1923,2.7701368682151164e-08,1.3755897953991212,0.11371705744713308
359,peplum,1866,2.770133287179219e-08,4.15427215509866,0.11371705744713308
244,cheers,1930,2.770133287179219e-08,7.760144429922957,0.11371705744713308
138,manat,1990,1.8467555247861462e-08,6.4716773335811615,0.11995513308921525
263,downtrend,1926,1.8467555247861462e-08,3.686739137894128,0.11995513308921525
39,coltan,1999,1.8467555247861462e-08,3.1084938352372253,0.11995513308921525
247,tailback,1930,1.8467555247861462e-08,2.240412542685298,0.11995513308921525
376,proximo,1855,7.387022099144585e-08,1.3872689520892738,0.11995513308921525
305,vasospasm,1902,1.8467555247861462e-08,0.38332508459273457,0.11995513308921525
261,solum,1928,3.6935110495722924e-08,20.037430463283147,0.11995513308921525
239,sneak preview,1937,1.8467579121434106e-08,-0.528133329041117,0.11995513308921525
345,leu,1879,1.8467555247861462e-08,16.249968179541106,0.11995513308921525
259,drill team,1928,1.8467579121434106e-08,-0.2404703296013637,0.11995513308921525
170,pravastatin,1987,1.8467555247861462e-08,3.5622400470110565,0.11995513308921525
231,snow job,1943,1.8467579121434106e-08,-0.4108777456404537,0.11995513308921525
204,baroreceptor,1948,1.8467555247861462e-08,-0.2949232434139696,0.11995513308921525
200,moon shot,1949,1.8467579121434106e-08,2.474127117346668,0.11995513308921525
211,bird colonel,1945,1.8467579121434106e-08,0.10667289268857727,0.11995513308921525
312,picky,1900,1.8467555247861462e-08,2.7795696042150224,0.11995513308921525
315,winter melon,1900,1.8467579121434106e-08,-0.33379619523495313,0.11995513308921525
176,transform fault,1965,1.8467579121434106e-08,2.95617585222131,0.11995513308921528
389,lobster trap,1847,1.8467579121434106e-08,0.05215428410654843,0.11995513308921528
269,jump ball,1924,1.8467579121434106e-08,2.5308474254084534,0.11995513308921528
273,bathtub gin,1923,1.8467579121434106e-08,0.4673737696516789,0.11995513308921528
272,spumoni,1924,1.8467555247861462e-08,-0.2349116531101758,0.11995513308921528
241,thermoreceptor,1937,1.8467555247861462e-08,3.8084010050924815,0.11995513308921528
319,glial,1888,4.616888811965365e-08,6.446791735593723,0.12799914544740673
343,billfold,1879,3.6935110495722924e-08,2.909607005632428,0.13884804454134106
203,sway bar,1949,3.693515824286821e-08,3.8893679256814124,0.13884804454134106
386,catchment,1847,3.6935110495722924e-08,1.5848581062170186,0.13884804454134106
282,typey,1923,4.616888811965365e-08,3.822085335097942,0.14176855338861885
271,reichsmark,1924,4.616888811965365e-08,4.625479979048868,0.14176855338861885
404,a tempo,1800,2.7701368682151164e-08,56.25310163963505,0.14744964323063836
335,chamber orchestra,1880,2.7701368682151164e-08,5.712406128447093,0.14744964323063836
